Title,Director,Cast,Genre
*Classic - Dance Of Love*,Babbar Subhash,"Mithun Chakraborty, Meghna Naidu, Vikas Bhardwaj",Erotic Thriller
*D*,Ram Gopal Varma,"Randeep Hooda, Chunky Pandey, Isha Koppikar","Crime, Drama"
*Dansh*,,"Kay Kay Menon, Sonali Kulkarni",Drama
*Deewane Huye Paagal*,Vikram Bhatt,"Akshay Kumar, Sunil Shetty, Shahid Kapoor, Rimi Sen",Romantic Comedy
*Dil Jo Bhi Kahey...*,,"Amitabh Bachchan, Bhumika Chawla, Karan Sharma, Revathi",Family drama
*Dosti: Friends Forever*,,"Akshay Kumar, Bobby Deol, Lara Dutta, Kareena Kapoor, Juhi Chawla","Drama, Romance"
*Double Cross - Ek Dhoka*,,"Sahil Khan, Negar Khan, Ayesha Jhulka",
*Dreams*,,"Aashish Chanana, Neha Pendse, Arzoo Govitrikar, Manoj Bidwani",
*Dus*,Nitin Manmohan,"Sunil Shetty, Sanjay Dutt, Shilpa Shetty, Esha Deol, Zayed Khan, Abhishek 
Bachchan, Dia Mirza, Raima Sen, Gulshan Grover","Action, Thriller"
*Ek Ajnabee*,Apoorva Lakhia,"Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian",Thriller
*Ek Khiladi Ek Haseena*,,"Fardeen Khan, Koena Mitra, Kay Kay Menon",Thriller
*Elaan*,,"Arjun Rampal, Ameesha Patel, Mithun Chakraborty, John Abraham, Lara Dutta","Action, Drama"
*Fareb*,Deepak Tijori,"Shilpa Shetty, Manoj Bajpai, Shamita Shetty",Thriller
*Fun – Can Be Dangerous Sometimes*,,"Aryan Vaid, Hina Rehman, Siddharth Koirala, Payal Rohatgi",Erotic Drama
*Garam Masala*,Priyadarshan,"Akshay Kumar, John Abraham, Rimi Sen, Neha Dhupia",Comedy
*Hanuman*,,,
*Hazaaron Khwaishein Aisi*,Sudhir Mishra,"Shiney Ahuja, Chitrangada Singh, Kay Kay Menon",Drama
*Home Delivery*,Sujoy Ghosh,"Vivek Oberoi, Mahima Chaudhry, Ayesha Takia",Comedy
*Hum Dum*,Kushan Nandy,"Anjana Sukhani, Romit Raaj",Romance
*Insan*,K. Subash,"Akshay Kumar, Ajay Devgan, Lara Dutta, Esha Deol, Tusshar Kapoor, Koena 
Mitra, Rahul Dev","Action, Thriller"
*Iqbal*,Nagesh Kukunur,"Shreyas Talpade, Naseeruddin Shah",Sports drama
*Jaane Hoga Kya*,,"Bipasha Basu, Aftab Shivdasani, Rahul Dev, Preeti Jhangiani, Paresh Rawal","Suspense, Thriller"
*Jackpot*,,"Meghna Naidu, Himanshu Malik","Erotic, Crime"
*Jai Chiranjeeva*,K. Vijaya Bhaskar,"Arbaaz Khan, Sameera Reddy, Bhumika Chawla, Rahul Dev, Shriya Sharma",Drama
*Jalwa - Fun in Love*,,"Kiran Janjani, Monalisa, Viraaj, Neha Bhatt",Erotic romance
*James*,,"Mohit Ahlawat, Nisha Kothari",Action
*Jo Bole So Nihaal*,,"Sunny Deol, Kamaal Khan, Shillpi Sharma","Action, Comedy"
*Jurm*,Vikram Bhatt,"Bobby Deol, Milind Soman, Lara Dutta",Thriller
*Kaal*,Soham Shah,"Ajay Devgan, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol","Horror, Thriller"
*Kalyug*,,"Kunal Khemu, Amrita Singh, Emraan Hashmi",Drama
*Karam*,,"John Abraham, Priyanka Chopra, Shiney Ahuja",Thriller
*Kasak*,,"Lucky Ali, Meera",
*Khamossh: Khauff Ki Raat*,,"Shilpa Shetty, Juhi Chawla,",Thriller
*Kisna: The Warrior Poet*,Subhash Ghai,"Vivek Oberoi, Isha Sharvani","Drama, Historical"
*Koi Aap Sa*,,"Aftab Shivdasani, Natassha, Himanshu Malik","Drama, Romance"
*Koi Mere Dil Mein Hai*,,"Priyanshu Chatterjee, Dia Mirza, Rakesh Bapat, Neha",
*Kuchh Meetha Ho Jaye*,,"Arshad Warsi, Mahima Chaudhry, Shah Rukh Khan","Comedy, Drama, Romance"
*Kyaa Kool Hai Hum*,,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia",Comedy
*Kyon Ki*,Priyadarshan,"Salman Khan, Kareena Kapoor, Rimi Sen, Jackie Shroff, Om Puri, Sunil Shetty","Drama, Romance"
*Lucky: No Time for Love*,,"Salman Khan, Mithun Chakraborty, Sneha Ullal",Romance
*Main Aisa Hi Hoon*,,"Ajay Devgan, Sushmita Sen, Esha Deol",Drama
"*Main, Meri Patni Aur Woh*",,"Rajpal Yadav, Rituparna Sen",
*Maine Gandhi Ko Nahin Mara*,Jahnu Barua,"Urmila Matondkar, Anupam Kher",Drama
*Maine Pyaar Kyun Kiya?*,,"Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan, Arshad Warsi, Isha 
Koppikar",Comedy
*Mangal Pandey: The Rising*,Ketan Mehta,"Aamir Khan, Rani Mukerji, Ameesha Patel, Toby Stephens","Drama, Historical"
*Mashooka*,Afzal Ahmed,"Aditya Bal, Meghna Naidu",Erotic thriller
*Mazaa Mazaa*,,"Payal Rohatgi, Farid Amiri, Shivani Singh, Pankaj Beri",
*Men Not Allowed*,Shrey Srivastav,"Payal Rohatgi, Tarun Arora",Romance
*Mohabbat Ho Gayi Hai Tumse*,,"Sanjay Dutt, Shamita Shetty, Chandrachur Singh",
*Morning Raga*,,"Shabana Azmi, Perizaad Zorabian",
*Mr Ya Miss*,,"Antara Mali, Aftab Shivdasani, Riteish Deshmukh",Comedy
*Mr. Prime Minister*,Dev Anand,"Dev Anand, Prem Chopra, Milind Gunaji, A.K. Hangal",Drama
*Mumbai Xpress*,Singeetam Srinivasa Rao,"Kamal Haasan, Manisha Koirala, Om Puri, Vijay Raaz",
*Mumbai Godfather*,,"Seema Biswas, Vikram Singh",Drama
*My Brother…Nikhil*,,"Juhi Chawla, Sanjay Suri",Drama
*My Wife's Murder*,Jijy Philip,"Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen, Boman Irani","Drama, Thriller"
*Naina*,,Urmila Matondkar,Horror
*Neal 'n' Nikki*,Arjun Sablok,"Uday Chopra, Tanisha, Abhishek Bachchan","Comedy, Romance"
*Netaji Subhas Chandra Bose: The Forgotten Hero*,,"Sachin Khedekar, Kulbhushan Kharbanda, Rajit Kapur, Arif Zakaria, Divya 
Dutta",
*Nigehbaan*,,"Sameer Dharmadhikari, Sandali Sinha, Sayaji Shinde, Govind Namdev",
*No Entry*,,"Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu, Celina Jaitly, Esha 
Deol, Lara Dutta",Comedy
*Padmashree Laloo Prasad Yadav*,Mahesh Manjrekar,"Sunil Shetty, Mahesh Manjrekar, Kim Sharma, Gulshan Grover, Johnny Lever",Comedy
*Page 3*,Madhur Bhandarkar,"Konkona Sen Sharma, Atul Kulkarni, Tara Sharma, Sandhya Mridul",Drama
*Pehchaan: The Face of Truth*,Shrabani Deodhar,"Vinod Khanna, Raveena Tandon, Rati Agnihotri",Drama
*Paheli*,Amol Palekar,"Shah Rukh Khan, Rani Mukerji, Anupam Kher, Juhi Chawla, Sunil Shetty, Amitabh 
Bachchan, Rajpal Yadav, Naseeruddin Shah","Fantasy, Romance"
*Parineeta*,,"Sanjay Dutt, Saif Ali Khan, Vidya Balan, Dia Mirza, Raima Sen",Drama
*Pyaar Mein Twist*,,"Rishi Kapoor, Dimple Kapadia, Soha Ali Khan","Drama, Romance"
*Rahul's Arranged Marriage*,Anant Mathur,"Devika, Sumeet, Anurag, Anita, Abhishek, Jyoti, Amar",Comedy
*Ramji Londonwale*,,"Madhavan, Samita Bangargi",
*Revati*,,"Kashmira Shah, Kiran, Ayub Khan, Shreyas Talpade, Alok Nath",
*Rog*,Himanshu Brahmbhatt,"Irrfan Khan, Himanshu Malik, Ilene Hamann","Drama, Thriller"
*Rog*,Himanshu Brahmbhatt,,"Drama, Thriller"
*Saathi: The Companion*,,"Rupa Dutta, Divvij Kak, Anchal Anand, Sameer Ali Khan",
*Salaam Namaste*,Siddharth Anand,"Saif Ali Khan, Preity Zinta, Arshad Warsi, Abhishek Bachchan","Romance, Comedy"
*Sarkar*,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Katrina Kaif, Tanisha","Crime, Drama"
*Sauda - The Deal*,,"Aryan Vaid, Preeti Jhangiani",
*Sehar*,,"Arshad Warsi, Mahima Chaudhry",
*Shaadi No. 1*,,"Fardeen Khan, Zayed Khan, Sharman Joshi, Esha Deol, Ayesha Takia, Soha Ali 
Khan, Sanjay Dutt, Rajpal Yadav, Riya Sen, Sophie Choudry, Aarti Chhabria","Comedy, Romance"
*Shabd*,,"Sanjay Dutt, Aishwarya Rai, Zayed Khan",Drama
*Shabnam Mausi*,,Ashutosh Rana,
*Sheesha*,,"Neha Dhupia, Sonu Sood",
*Silsiilay*,Khalid Mohamed,"Tabu, Bhumika Chawla, Riya Sen, Rahul Bose, Jimmy Shergill, Divya Dutta, Kay 
Kay Menon, Celina Jaitly, Natassha, Ashmit Patel",Romance
*Sitam*,,"Kiran Janjani, Tara Sharma, Navneet Kaur, Avtar Gill, Suhasini Mulay",
*Ssukh*,,"Govinda, Preeti Jhangiani",
*Taj Mahal: An Eternal Love Story*,,"Arbaaz Khan, Kabir Bedi, Manisha Koirala, Pooja Batra","History, Epic, Romance"
*Tango Charlie*,Mani Shankar,"Ajay Devgan, Bobby Deol, Tanisha, Nandana Sen, Sanjay Dutt, Sunil Shetty","War, Drama"
*Tezaab*,,"Mighty Khan, Parvin Dabas, Shruti Sharma",Erotic
*Time Pass*,,"Arjun Punj, Sherlyn Chopra",
*Topless*,,"Shweta Menon, Tarun Khanna, Sardar Sohi",
*U Bomsi N Me*,,"Bobby Bahal, Kenny Desai, Vivek Madan, Vidya Malvade",
*Vaada*,,"Arjun Rampal, Ameesha Patel, Zayed Khan",Thriller
*Vaah! Life Ho Toh Aisi!*,Mahesh Manjrekar,"Sanjay Dutt, Shahid Kapoor, Amrita Rao","Fantasy, Comedy"
*Vidyaarthi*,,"Jackie Shroff, Paresh Rawal, Rahul Roy",
*Viruddh... Family Comes First*,Mahesh Manjrekar,"Amitabh Bachchan, Sharmila Tagore, John Abraham, Anusha Dandekar, Sanjay 
Dutt",Drama
*Waqt: The Race Against Time*,Vipul Shah,"Amitabh Bachchan, Akshay Kumar, Shefali Shah, Priyanka Chopra, Boman Irani, Rajpal 
Yadav",Drama
*Yahaan*,,"Jimmy Shergill, Minissha Lamba",Romance
*Yakeen*,,"Arjun Rampal, Priyanka Chopra, Kim Sharma",Drama
*Zameer: The Fire Within*,,"Ajay Devgan, Ameesha Patel, Mahima Chaudhry",Drama
*Zeher*,,"Shamita Shetty, Emraan Hashmi, Udita Goswami",Drama
*99.9 FM*,Sanjay Bhatia,"Shawar Ali, Dipannita Sharma, Raima Sen","Comedy, Drama"
*Aabra Ka Daabra*,Dheeraj Kumar,"Hansika Motwani, Shweta Tiwari, Vishal Lalwani, Archana Puran Singh",Fantasy
*Aan: Men at Work*,Madhur Bhandarkar,"Akshay Kumar, Sunil Shetty, Lara Dutta, Raveena Tandon",Action
*Ab Bas*,Rajesh Kumar Singh,"Shawar Ali, Rohit Roy, Diana Hayden",Adult
*Ab Tumhare Hawale Watan Saathiyo*,Anil Sharma,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar","War, Drama"
*Aetbaar*,Vikram Bhatt,"Amitabh Bachchan, Bipasha Basu, John Abraham",Thriller
