Title,Director,Cast,Genre
*Gudgudee*,Basu Chatterjee,"Anupam Kher, Jugal Hansraj, Pratibha Sinha","Musical, Romance"
*Gundagardi*,,"Raj Babbar, Dharmendra",
*Gupt: The Hidden Truth*,Rajiv Rai,"Bobby Deol, Manisha Koirala, Kajol",Thriller
*Hameshaa*,Sanjay Gupta,"Saif Ali Khan, Kajol",Drama
*Hero No. 1*,David Dhawan,"Govinda, Karisma Kapoor",Comedy
*Himalay Putra*,Pankaj Parashar,"Vinod Khanna, Akshaye Khanna, Hema Malini","Drama, Romance"
*Insaaf*,Dayal Nihalani,"Akshay Kumar, Shilpa Shetty, Paresh Rawal",Action
*Ishq*,Indra Kumar,"Aamir Khan, Juhi Chawla, Ajay Devgn, Kajol","Romance, Comedy"
*Itihaas*,Raj Kanwar,"Ajay Devgn, Twinkle Khanna",
*Jeeo Shaan Se*,Talat Jani,"Dharmendra, Reena Roy, Vikas Bhalla",
*Jeevan Yudh*,Partho Ghosh,"Mithun Chakraborty, Atul Agnihotri, Mamta Kulkarni","Action, Drama, Family"
*Jodidar*,T.L.V. Prasad,"Bindushree, Mithun Chakraborty, Prem Chopra",
*Judaai*,Raj Kanwar,"Anil Kapoor, Sridevi, Urmila Matondkar",Drama
*Judge Mujrim*,Jagdish A. Sharma,"Jeetendra, Sunil Shetty, Sujata Mehta",Action
*Judwaa*,David Dhawan,"Salman Khan, Rambha, Karisma Kapoor",Comedy
*Kaalia*,T.L.V. Prasad,"Dipti Bhatnagar, Mithun Chakraborty, Kiran Kumar",
*Kaun Rokega Mujhe*,,"Govinda, Prem Chopra, Nagma, Pran",
*Kaun Sachcha Kaun Jhootha*,Partho Ghosh,"Rishi Kapoor, Sridevi, Suresh Oberoi","Action, Drama, Thriller"
*Koyla*,Rakesh Roshan,"Shahrukh Khan, Madhuri Dixit, Amrish Puri",Drama
*Krantikari*,Raghuram,"Mithun Chakraborty, Mamta Kulkarni, Rajnikanth","Action, Crime, Drama"
*Krishna Arjun*,Shailendra Shukla,"Jeetendra, Vivek Mushran, Karina Grover",
*Lahu Ke Do Rang*,Mehul Kumar,"Akshay Kumar, Karisma Kapoor","Action
Drama"
*Lakha*,,"Kulbhushan Kharbanda, Pran",
*Lav Kush*,V. Madhusudan Rao,Pran,
*Loha*,,"Dharmendra, Mithun Chakraborty, Govinda, Ramya",
*Mahaanta*,Afzal Khan,"Sanjay Dutt, Madhuri Dixit",
*Mere Sapno Ki Rani*,K. Raghavendra Rao,"Asrani, Rakesh Bedi, Laxmikant Berde","Drama, Musical, Romance"
*Mrityudand*,Prakash Jha,"Madhuri Dixit, Shabana Azmi",Drama
*Mrityudata*,Mehul Kumar,"Amitabh Bachchan, Nana Patekar, Dimple Kapadia, Karisma Kapoor, Pran",Action
*Mr. and Mrs. Khiladi*,David Dhawan,"Akshay Kumar, Juhi Chawla",Romantic comedy
*Naseeb*,Kirti Kumar,"Govinda, Mamta Kulkarni",
*Pardes*,Subhash Ghai,"Shahrukh Khan, Mahima Chaudhry, Amrish Puri",Social Drama
*Prithvi*,Nitin Manmohan,"Sunil Shetty, Shilpa Shetty",Mystery
*Qahar*,Rajkumar Kohli,"Sunny Deol, Sunil Shetty, Sonali Bendre",Action
*Raja Ki Aayegi Baraat*,Ashok Gaikwad,"Rani Mukherji, Shadaab Khan","Family, Crime, Drama, Romance"
*Saat Rang Ke Sapne*,Priyadarshan,"Arvind Swamy, Juhi Chawla, Farida Jalal",
*Salma Pe Dil Aa Gaya*,Saawan Kumar Tak,"Ayub Khan, Milind Gunaji, Saadhika, Pran",
*Sanam*,Aziz Sejawal,"Sanjay Dutt, Manisha Koirala",Romance
*Sapnay*,Rajiv Menon,"Arvind Swamy, Prabhu Deva, Kajol, S. P. Balasubrahmanyam, Nassar",Romance
*Shapath (1997 film)*,Rajiv Babbar,"Mithun Chakraborty, Jackie Shroff, Harish, Ramya Krishna",
*Sher-E-Hindustan*,T L V Prasad,"Mithun Chakraborty, Sanghavi, Madhoo",
*Sixth Happiness*,Waris Hussein,"Firdaus Kanga, Souad Faress, Khodus Wadia",Social
*Suraj*,T.L.V. Prasad,"Rakesh Bedi, Mithun Chakraborty, Puneet Issar",Action
*Taraazu*,,"Akshay Kumar, Sonali Bendre",Action
*Uff! Yeh Mohabbat*,Vipin Handa,"Abhishek Kapoor, Twinkle Khanna, Anupam Kher",
*Virasat*,Priyadarshan,"Anil Kapoor, Tabu, Pooja Batra, Amrish Puri",Drama
*Yes Boss*,Aziz Mirza,"Shahrukh Khan, Juhi Chawla, Aditya Pancholi","Comedy, Romance"
*Yeshwant*,Anil Matto,"Nana Patekar, Madhoo, Atul Agnihotri, Mohan Joshi, Shafi Inamdar",Social
*Ziddi*,Guddu Dhanoa,"Sunny Deol, Raveena Tandon","Action, Drama"
*Aathank*,Prem Lalwani,"Dharmendra, Girish Karnad, Nafisa Ali, Hema Malini, Amjad Khan, Kader Khan, Ravi 
Kishan",Action
*Agni Sakshi*,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala","Thriller, Drama"
*Aisi Bhi Kya Jaldi Hai*,Sachin,"Sachin, Vivek Mushran, Ashok Saraf",Comedy Romance
*Ajay*,Suneel Darshan,"Sunny Deol, Karishma Kapoor, Reena Roy, Sharat Saxena",Action
*Angaara*,Anil Ganguly,"Sadashiv Amrapurkar, Suresh Bhagwat, Hemant Birje",
*Army*,Raam Shetty,"Sridevi, Danny Denzongpa, Mohnish Behl, Ronit Roy, Shahrukh Khan",Drama
*Aur Ek Prem Kahani*,Balu Mahendra,"Ramesh Aravind, Heera Rajagopal, Revathy, Sudhir Ahuja, Sushma Ahuja, 
Akshay Anand",
*Aurat Aurat Aurat*,K. Vishwanath,"Rekha, Vinod Mehra, Rakesh Roshan, Aruna Irani, Neeta Mehta",Drama
*Bal Bramhachari*,"Prakash Mehra, Beendhu Shukla","Puru Rajkumar, Karisma Kapoor, Deepak Tijori",
*Bambai Ka Babu*,Vikram Bhatt,"Saif Ali Khan, Kajol, Atul Agnihotri","Action, Romance"
*Bandish*,Prakash Jha,"Juhi Chawla, Guddi Maruti, Paresh Rawal","Comedy, Drama, Romance"
*Beqabu*,N. Chandra,"Sanjay Kapoor, Mamta Kulkarni, Amrish Puri","Action, Drama, Romance, Family"
*Bhairavi*,Arunaraje,"Ashwini Bhave, Sridhar, Manohar Singh","Drama, Musical, Romance"
*Bhishma*,Jagadish A. Sharma,"Mithun Chakraborty, Anjali Jathar, Vani Viswanath, Harish",Action
*Cha Cha Charlee*,K. Balachander,"Kamal Hassan, Revathy, Srividya",Comedy
