Opening,,Title,Director,Cast,Genre,
,*9*,*Acid Factory*,Suparn Verma,"Dia Mirza, Fardeen Khan, Irrfan Khan, Manoj Bajpai, Dino Morea, Aftab 
Shivdasani, Danny Denzongpa, Gulshan Grover",Action,
,*16*,*All The Best: Fun Begins*,Rohit Shetty,"Sanjay Dutt, Ajay Devgan, Fardeen Khan, Bipasha Basu, Mugdha Godse",Comedy,
,,*Blue*,Anthony D'souza,"Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan, Katrina Kaif, Rahul Dev",Action,
,,*Main Aurr Mrs Khanna*,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan, Deepika Padukone, Dino Morea, Preity 
Zinta, Nauheed Cyrusi, Yash Tonk, Bappi Lahiri","Drama, Romance",
,*23*,*Bal Ganesh 2*,Pankaj Sharma,,Animation,
,,*Fruit and Nut*,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Mahesh Manjrekar, Dia Mirza",Comedy,
,,*Love Ka Tadka*,Gautam Adhikari & Rajan Wagdhare,"Nauheed Cyrusi, Sameer Dattani",Romantic Comedy,
,*30*,*London Dreams*,Vipul Shah,"Salman Khan, Ajay Devgan, Asin Thottumkal, Om Puri","Musical, Social, Drama, Romance",
,,*Aladin*,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Jacqueline Fernandez, Ritesh Deshmukh, Sahil 
Khan, Ratna Pathak Shah",Fantasy,
*NOV*,*6*,*Ajab Prem Ki Ghazab Kahani*,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Upen Patel","Comedy, Romance",
,,*Jail*,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse",Social,
,*13*,*Tum Mile*,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan",Romance,
,,*Aao Wish Karein*,Glenn Baretto,"Aftab Shivdasani, Aamna Shariff, Johnny Lever, Ritesh Deshmukh",Fantasy,
,*20*,*Kurbaan*,Rensil D'Silva,"Saif Ali Khan, Kareena Kapoor, Vivek Oberoi, Dia Mirza, Om Puri, Kirron Kher, 
Nauheed Cyrusi","Thriller, Romance",
,,*Shaabash! You Can Do It*,Shankar Mondal,"Hitesh Agrawal, Mansi Dovhal, Sudesh Berry, Nasir Khan","Comedy, Thriller, Social",
,,*Marega Salaa*,Devang Dholkia,"Jimmy Shergill, Kim Sharma, Hrishita Bhatt, Rahul Handa",Action,
,*27*,*De Dana Dan'*,Priyadarshan,"Akshay Kumar, Katrina Kaif, Sunil Shetty, Paresh Rawal, Neha Dhupia, Sameera 
Reddy",Comedy,
*DEC*,*3*,*Radio*,Ishaan Trivedi,"Himesh Reshammiya, Shenaz Treasurywala, Sonal Sehgal",Musical,
,*4*,*Paa*,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal","Drama, Family",
,*11*,*Rocket Singh: Salesman of the Year*,Shimit Amin,"Ranbir Kapoor, Shazahn Padamsee, Sharon Prabhakar",Comedy,
,*18*,*Raat Gayi Baat Gayi?*,Saurabh Shukla,"Rajat Kapoor, Vinay Pathak, Neha Dhupia, Navneet Nishan, Dalip Tahil, Anuradha 
Menon, Aamir Bashir, Iravati Harshe",Drama,
,*25*,*3 Idiots*,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Sharman Joshi, R. Madhavan, Boman Irani, Omi 
Vaidya",Comedy,
,*31*,*Accident on Hill Road*,Mahesh Nair,"Celina Jaitley, Farooq Sheikh",Thriller,
